Institution Name,Title IV School Code,Program Title,Program Type,Program Format ,Location,Schedule (if possible),Program URL,Avg Timeframe to Complete,Avg Cost,Program Category ,Program Description
Thomas College,2052,Arts and Sciences,Associate of Science,Hybrid,Waterville,Flexible,http://www.thomas.edu/content/4914/associate-of-science-in-arts-and-sciences,Variable,$550/3 credit course,Business,Our two-year Associate of Arts in Arts and Sciences major is designed to prepare students for baccalaureate work and to provide students the opportunity to explore the Arts and Sciences while gaining a solid background in a variety of subject areas.
Thomas College,2052,Business Administration,Associate of Science,Hybrid,Waterville,Flexible,http://www.thomas.edu/content/4913/associate-of-science-in-business-administration,Variable,$550/3 credit course,Business,"At Thomas College, our focus is to provide students with the knowledge and skills necessary to successfully manage people and resources in various organizational settings. The concentrations and courses are designed to support and enhance the development of leadership skills in our students in order to prepare them to deal with global settings, a diverse workforce, and constantly changing competitive and regulatory environments."
Thomas College,2052,Accounting,Bachelor of Science,Hybrid,Waterville,Flexible,http://www.thomas.edu/content/4915/bachelor-of-science-in-accounting,Variable,$550/3 credit course,Business,"Students completing the Thomas College BS in Accounting program study a full range of accounting techniques and best practices. Our graduates land positions in top firms in Maine and around the country. Our focus is hands-on experience, small classes, and liberal-arts training to give you the best education possible. Our industry-leading internship program is among the best in higher education."
Thomas College,2052,Business Administration,Bachelor of Science,Hybrid,Waterville,Flexible,http://www.thomas.edu/content/4916/bachelor-of-science-in-business-administration,Variable,$550/3 credit course,Business,"Graduates of the management program combine management theory, strategic methodology and best practices to solve complex problems. We train students using the latest technology, so that when they enter the field, they can effectively judge the value of the decision support systems in place and identify a full range of ethical alternative solutions. "
Thomas College,2052,Business Administration - Finance/ Economics,Bachelor of Science,Hybrid,Waterville,Flexible,http://www.thomas.edu/content/4917/bachelor-of-science-in-business-administration-finance-economics-concentration,Variable,$550/3 credit course,Business,"At Thomas College, our management program produces great leaders. Our focus is to provide students with the knowledge and skills necessary to successfully manage people and resources in various organizational settings. The concentrations and courses are designed to support and enhance the development of leadership skills in our students in order to prepare them to deal with global settings, a diverse workforce, and constantly changing competitive and regulatory environments."
Thomas College,2052,Human Resource Management,Bachelor of Science,Hybrid,Waterville,Flexible,http://www.thomas.edu/content/4918/bachelor-of-science-in-human-resource-management,Variable,$550/3 credit course,Business,"Graduates of the human resources management program effectively combine management theory, strategic methodology and best practices to solve complex problems. We train students using the latest technology, so that when they enter the field, they can effectively judge the value of the decision support systems in place and identify a full range of ethical alternative solutions."
University of Southern Maine,9762,Certificate Program in Meeting Facilitation ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-meeting-facilitation,21 hours,$535,Communication & Business Skills,"Bring advanced meeting facilitation skills to your organization, your consulting practice, or your volunteer work. Whether you are a board member or staff member of a small nonprofit, a team leader in a large corporation, a public official, an HR professional, or an independent consultant, you will benefit from the concepts, skills, and hands-on practice that this highly interactive program offers. Both new and experienced facilitators will take their skills to a new level. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.
"
University of Southern Maine,9762,Certificate Program in Human Resources Management ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-human-resource-management,91 hours ,"$1535, plus elective ",HR,"Taught by highly experienced human resource professionals, this certificate program offers a comprehensive view of professional development in the practical application of concepts of compensation, performance management, training and development, personnel law, recruitment, fringe benefits, and labor relations.  This program is designed for entry- to mid-level managers of human resource departments, recruiters and staff specialists, small business owners, and individuals looking to enhance their skills in human resource management. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.

"
University of Southern Maine,9762,Certificate Program in Lean Six Sigma Green Belt ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-lean-six-sigma-green-belt,35 hours,"$1,500",Business & Industry Professional Practices,"The Lean Six Sigma Green Belt Certificate Program is designed to provide you with the skills and knowledge to successfully lead and participate in improvement projects. The Six Sigma approach emphasizes evidence-based analysis, customer-driven results, and an efficient flow of products and services designed to deliver high performance, reliability, and value to the customer. The Green Belt certification will provide you with a complete toolbox that you can immediately apply back on the job for process improvements. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.
"
University of Southern Maine,9762,Certificate program in Lean Six Sigma Black Belt ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-lean-six-sigma-black-belt,46 hours ,"$1,900",Business & Industry Professional Practices,"Lean Six Sigma Black Belt training focuses on developing expert-level problem solving skills, giving participants the tools they need to lead successful improvement teams. Each participant will work on a project that provides practice and consultation on key Lean Six Sigma concepts and methodology. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp."
University of Southern Maine,9762,Certificate Program in Mediation ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-mediation,40 hours,"$1,150",Mediation ,"This certificate program in mediation introduces you to alternative dispute resolution (ADR) and the process and skills of mediation. It provides 40 hours of training, which is a state and national standard for entry-level mediators. The course is designed for individuals who are interested in mediating or applying the process of mediation to their profession or in their workplace. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.
"
University of Southern Maine,9762,Certificate Program in Divorce Mediation ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-divorce-mediation,34 hours ,$855,Divorce Mediation ,This certificate program is designed for individuals who have completed a 40 hour mediation training and are interested in adding divorce mediation to their practices or applying for the Domestic Relations roster of the Court Alternative Dispute Resolution Service. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.
University of Southern Maine,9762,Certificate Program in Professional Communication ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/professional-communication,42 hours ,"$1205, plus elective",Communication & Business Skills ,"Most of us spend nearly all of our working hours communicating with others. Whether we are instructing a staff member on how to complete a project, brainstorming ideas with colleagues, giving a formal sales presentation, writing an e-mail or business letter, or meeting customers' needs, effective communication skills are essential to our professional success and satisfaction.  This certificate program allows individuals to develop the confidence and clarity in communication to complement their professional skills and support their career growth.  Through presentation, discussions, and exercises, you will explore the theory and practice of effective workplace communication. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.




"
University of Southern Maine,9762,Certificate Program in Project Management ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/project-management,68 hours ,"$1370, plus elective",Business & Industry Professional Practices,"Project management is the methodology employed to maintain control over schedule and resources and assure quality results in the midst of risk and uncertainty.  The process starts with examining the situation and organizing the team; moves through identifying tasks and estimating resources; and concludes with setting schedules, managing risk, and completing a plan. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp."
University of Southern Maine,9762,Certificate Program in Supervision ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-supervision,36 hours ,"$925, plus elective",Supervision & Leadership,"This certificate program provides supervisors and managers with practical skills for the day-to-day responsibilities of managing staff. Topics include techniques for communicating expectations to employees, giving performance feedback, and getting your own job done while leading others. This program is designed for entry- to mid-level supervisors and managers, small business owners, technical staff, and individuals interested in leadership roles. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.
"
University of Southern Maine,9762,Certificate Program in Training & Development ,Non-credit Certificate,Face 2 Face,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-training-and-development,70 hours ,"$1655, plus elective",Training and Development,"This certificate program in training and development provides an in-depth and comprehensive introduction to the role of the trainer and the opportunity to learn and practice the fundamental skills and processes involved in training others. The curriculum has recently been updated to include online instruction. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.
"
