High Growth,SOC Code,SOCTitle,Base Empl,Proj Empl,Percent Change,Total Openings,2011 Entry Wage,2011 Median Wage,Education/ Training Required,URL,O*NET Summary Report URL
X,29-1111,Registered Nurses,"15,335","18,358",19.7,580,$22.99,$28.98,Associate's degree,http://www.onetonline.org/link/summary/29-1111.00,http://www.onetonline.org/link/summary/29-1111.00
X,47-2031,Carpenters,"10,532","11,787",11.9,349,$12.90,$16.93,High school diploma or equivalent,http://www.onetonline.org/link/summary/47-2031.00,http://www.onetonline.org/link/summary/47-2031.00
,41-1011,First-Line Supervisors/Managers of Retail Sales Workers,"9,080","9,301",2.4,234,$11.88,$16.33,High school diploma or equivalent,http://www.onetonline.org/link/summary/41-1011.00,http://www.onetonline.org/link/summary/41-1011.00
,53-3032,"Truck Drivers, Heavy and Tractor-Trailer","9,754","10,125",3.8,231,$12.23,$16.76,High school diploma or equivalent,http://www.onetonline.org/link/summary/53-3032.00,http://www.onetonline.org/link/summary/53-3032.00
,11-1021,General and Operations Managers,"10,805","10,238",-5.3,201,$20.67,$35.94,Associate's degree,http://www.onetonline.org/link/summary/11-1021.00,http://www.onetonline.org/link/summary/11-1021.00
,43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers,"5,877","6,150",4.7,184,$15.21,$20.88,High school diploma or equivalent,http://www.onetonline.org/link/summary/43-1011.00,http://www.onetonline.org/link/summary/43-1011.00
,25-2021,"Elementary School Teachers, Except Special Education","6,212","6,320",1.7,147,$17.05,$23.57,Bachelor's degree,http://www.onetonline.org/link/summary/25-2021.00,http://www.onetonline.org/link/summary/25-2021.00
,25-2031,"Secondary School Teachers, Except Special and Vocational Education","5,227","5,147",-1.5,143,$17.57,$23.30,Bachelor's degree,http://www.onetonline.org/link/summary/25-2031.00,http://www.onetonline.org/link/summary/25-2031.00
,43-3031,"Bookkeeping, Accounting, and Auditing Clerks","8,977","9,356",4.2,137,$11.47,$15.70,High school diploma or equivalent,http://www.onetonline.org/link/summary/43-3031.00,http://www.onetonline.org/link/summary/43-3031.00
X,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","4,134","4,454",7.7,129,$16.59,$24.89,High school diploma or equivalent,http://www.onetonline.org/link/summary/41-4012.00,http://www.onetonline.org/link/summary/41-4012.00
