Institution Name,Title IV School Code,Institution Website URL,Institution Logo URL,Institution Physical Address,Institution Phone Number,Financial Aid Contact,Admissions Contact,Category,Description
Thomas College,002052,www.thomas.edu,http://www.nextstepmaine.org/wp-content/uploads/Thomas_Logo.jpg,"180 W River Rd, Waterville, ME 04901",207-859-1102,207-859-1105,207-859-1102,College,"Thomas College's mission is to prepare students for success in their personal and professional lives, and for leadership and service in their communities. In addition to the career-specific and liberal arts undergraduate courses, Thomas offers graduate degrees and continuing education courses. These programs serve a variety of professionals in central Maine who typically attend class while working full time and volunteering in their communities. The College is accredited by the New England Association of Schools and Colleges and is authorized by the state to award a Master of Business Administration degree, Master of Science, Bachelor of Science, Bachelor of Arts, Associate in Science, and Associate in Arts. A Thomas education is a complete experience. Students have access to a thriving academic community, supportive campus life, personal business internships, an assortment of athletic opportunities and an introduction to community service. With an average class size of 18 and a student to faculty ratio of 15:1, Thomas provides personalized attention, helping students realize their potential and secure well-paying jobs. Thomas provides a supportive learning environment that values the needs and goals of individual students. At Thomas, students discover and fulfill their unique potential. Each program at the College promotes professional excellence, informed by ethics and integrity."
University of Southern Maine,009762,http://www.usm.maine.edu/,http://www.nextstepmaine.org/wp-content/uploads/USM_Logo.jpg,"96 Falmouth Street, Portland, ME 04104-9300",207-780-4141,207-780-5250 fin-aid@usm.maine.edu http://www.usm.maine.edu/fin,(207)-780-5670 usmadm@usm.maine.edu,University,"The University of Southern Maine is northern New England's outstanding public, regional, comprehensive university, dedicated to providing students with a high-quality, accessible, affordable education. From our campuses in Portland, Gorham, and Lewiston-Auburn, USM offers baccalaureate, master's, and doctoral programs, providing students with rich learning opportunities in the arts, humanities, politics, health sciences, business, mass communications, science, engineering, and technology. Our students will be the artists, business people, engineers, health care workers, public servants, teachers and others whose talents will fuel our economy—and shape tomorrow's world. "
University of Maine Fort Kent,002041,http://www.umfk.edu,http://www.nextstepmaine.org/wp-content/uploads/UMFK_Logo.jpg,"23 University Drive, Fort Kent, ME 04743",207-834-7500,"207-834-7605 umfkaid@maine.edu 
",1-888-879-8635,University,"UMFK is a small campus at the top of Maine on the Canadian border and if you love fishing, hunting, winter sports, kayaking and biking, this is the place to be."
Husson University,002043,www.husson.edu,http://www.nextstepmaine.org/wp-content/uploads/Husson_Logo.jpg,"1 College Circle, Bangor, ME 04401",1-800-4HUSSON,1-207-941-7156,1-800-448-7766,University,"Husson University is accessible and affordable, offering extended learning and graduate programs on its campuses in Bangor, South Portland,and Presque Isle. No matter which degree program you choose, Husson offers tailored solutions to meet your educational needs and career goals."
Saint Joseph's College Online,002051,http://www.sjcme.edu/,http://www.nextstepmaine.org/wp-content/uploads/SJC_Logo.jpg,"278 Whites Bridge Road, Standish, ME 04084",207-892-6766,1-800-752-1266   finaid@sjcme.edu,1-800-752-4723  info@sjcme.edu,College,Saint Joseph’s College Online offers a convenient and manageable way to earn a degree or take individual courses. You can start your program in any month of the year and set a pace that suits your life and family. 
Southern New Hampshire University (ME),002580,http://www.snhu.edu/,http://www.nextstepmaine.org/wp-content/uploads/SNHU_Logo.jpg,"10 Tibbetts Drive, Brunswick, ME 04011",207-725-6486,"603-645-9667 onestop@snhu.edu  
",1-888-327-SNHU enroll@snhu.edu ,University,"At Southern New Hampshire University, we believe learning never ends. We’re dedicated to helping you make the most of your potential - whether you study on campus, on location or online."
University of Maine at Augusta,6760,www.uma.edu,http://www.nextstepmaine.org/wp-content/uploads/UMA_Logo.jpg,"46 University Drive, Augusta, ME  04330",207-621-3000,207-621-3455,207-621-3465,University,"The University of Maine at Augusta, a regional state university, provides baccalaureate and select associate degrees to meet the educational, economic, and cultural needs of Central Maine.  Based on a common liberal arts core for all degree programs, UMA delivers professional programs to non-traditional, traditional, and place-bound students."
University of New England,002050,http://www.une.edu/,http://www.nextstepmaine.org/wp-content/uploads/UNE_Logo.jpg,"11 Hills Beach Road, Biddeford, ME 04005",(207) 283-0171,"Tel: (207)602-2342, Fax: (207)602-5968, finaid@une.edu, website:  http://www.une.edu/financialaid/",http://www.une.edu/admissions/,University,"The University of New England is an innovative health sciences university grounded in the liberal arts. UNE has internationally recognized scholars in the liberal arts, sciences, health and medicine; offers more than 40 undergraduate, graduate and professional degree programs; and is home to Maine’s only medical school.  Its two distinctive campuses in Biddeford and Portland, Maine offer student-centered interprofessional programs in the College of Pharmacy, Westbrook College of Health Professions, College of Osteopathic Medicine, College of Arts and Sciences, and College of Graduate Studies.  The College of Dental Medicine will enroll its inaugural class in 2013.U.S. News & World Report  has recognized UNE as one of the “Best Universities” in the North that offer “a full range of undergraduate and master’s programs.""  Additionally, the College of Osteopathic Medicine is recognized for its educational excellence in primary care and geriatric medicine."
University of Maine (Orono),002053,http://umaine.edu/,http://www.nextstepmaine.org/wp-content/uploads/UMO_Logo.jpg,"Munson Road & College Avenue, Orono, Maine 04469",207-581-1865,"(207) 581-1324, umfinaid@maine.edu, website: http://umaine.edu/stuaid/","Continuing Education: (207)581-3143, email cedss@umit.maine.edu   Undergraduate Admissions: (207) 581-1561, um-admit@maine.edu",University,"The University of Maine, founded in 1865, is the state’s premier public university, located in the town of Orono. As Maine’s land-grant university and the flagship institution in the University of Maine System, it is among the most comprehensive higher education institutions in the Northeast, attracting students from across the U.S. and more than 60 countries. It currently enrolls 11,168 total undergraduate and graduate students who can directly participate in groundbreaking research working with world-class scholars. Students are offered 88 bachelor’s degree programs, 70 master’s degree programs, 30 doctoral programs and one of the oldest and most prestigious honors programs in the U.S. The university promotes environmental stewardship on its campus, with substantial efforts aimed at conserving energy, recycling and adhering to green building standards in new construction."
Beal College,005204,http://www.bealcollege.edu/,http://www.nextstepmaine.org/wp-content/uploads/Beal-Logo.jpg,"99 Farm Road, Bangor, ME 04401",(207) 947-4591,"(207) 947-4591 ext. 317 , email mmagee@bealcollege.edu","1-800-660-7351, admissions@bealcollege.edu",College,"At Beal College, our mission is to partner with our students as they pursue their academic journeys. We have a small campus with small classes and we offer personalized attention to our students. Plus, Beal students come from all backgrounds, so no matter your age or experience, you’ll feel comfortable here!
If you’re dreaming of a new career or hoping to advance your current career, Beal can help. We offer affordable hands-on training for the careers of today and beyond – and financial aid is available to those who qualify. Beal offers a convenient class schedule with 6 start dates during the year. Full-time students only take 2 courses per term."
