Institution Name,Title IV School Code,Program Title,Program Type,Program Level,Program Format ,Program Location,Program Schedule ,Program URL,Avg Timeframe to Complete,Avg Cost,Program Category ,Program Description
The Institution Name column is only used internally for administration ease. Users will not see data in this field--It's simply meant to help you as an administrator.,"Every college/higher-ed institution in the country has a Title IV code. Title IV codes can be looked up here: http://www.finaid.org/fafsa/tiv.phtml This value MUST be a 6 digit code. You may need to set your version of Excel or Numbers to allow leading zeros in this value, e.g. '005204' not '5204'. ","Users see the program title in program listings, single program pages, and search results. The program title should be short and descriptive. An asterisk (*) can be used at the end of the program title to indicate the program is supported by the Maine University Colleges. ","Program types are used to sort programs on the website. Valid values are 'bachelor', 'associate', 'certificate', and 'master'. ","Valid values for program level include, but are not limited to: 'graduate', 'undergraduate', and 'non-credit'. ","Program format is used by users to filter & sort programs in the programs list. Valid values include 'online', 'classroom', and 'hybrid' (meaning the course meets both online and in the classroom).","Location is used to describe the physical location students meet for classroom and hybrid classes. Example values include, but are not limited to: 'bangor' or 'augusta'. A value of 'statewide' indicates to users that the program is online and that location is not a factor. ","Program schedule only has two values, 'flexible' or 'fixed'. For example, a stay-at-home dad might only be able to take online courses at night, and is looking for a program with a 'flexible' schedule. ","Enter the web page address for the program, if one exists. This web page should include all additional program data not listed on Next Step Maine, and the page should have clear instructions on the user's next step, whether it's to call Admissions or do another action. When a user clicks on the Next Step Maine website to view additional program details they'll be taken to this page. NOTE: This value must include http:// at the beginning of the url, i.e. http://www.nextstepmaine.org/","This field is used to give users a good idea how long the program will take them to complete. If the program has a 'flexible' schedule a value of 'variable' is acceptable. Otherwise please specify the time length in hours, e.g. '34 hours'.",This is the average cost per credit. An acceptable value would be '$200 per credit'. Users will sort by this data to view the most affordable programs for their budget. ,"Categories are used to describe a program with keywords that users will search for. If you have more than one category for your program, please separate them with a comma. E.g. ""business, accounting, finance"" Categories will also be used to correlate jobs with programs, example: A user looking at an Accounting program would be recommended jobs also categorized as 'accounting'. ","Please describe your program in detail. There is no limit to the description length, so please be thorough. Users researching the programs on Next Step Maine will be reading these descriptions in order to decide which program(s) and institutions they will enroll in. The language in the program description will sometimes be the first copy a user is reading from your institution. Using inviting and detailed descriptions incite users to learn more about your institution and programs."
NOTES ABOUT ENTERING DATA: All data should be lower case and singular. Example: 'bachelor' not 'Bachelors' or 'applied science' not 'Applied Science' or 'bangor' not 'Bangor'. The Next Step Maine website will case and pluralize content as needed to produce grammatically correct copy. Having uniform data like this makes it easier for users to search the website. ,,,,,,,,,,,,
BEAL COLLEGE,005204,Accounting,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=169,Variable,$196 per credit,Accounting,"The Accounting program is designed to give the student an in-depth knowledge of accounting principles and their application in today’s business environment. Specialized courses including Federal Taxes, Managerial Accounting and Computerized Accounting are included to provide the student with a wider range of business knowledge."
BEAL COLLEGE,005204,Administrative Assistant ,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=170,Variable,$196 per credit,Business,"The Administrative Assistant program prepares students to be effective and efficient administrative professionals. This program blends traditional office skills, such as planning, supervising, organizing, bookkeeping and document preparation with current computer technology and applications including keyboarding, word processing, electronic spreadsheets, and database management."
BEAL COLLEGE,005204,Business Management,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=171,Variable,$196 per credit,Business,The Business Management program provides students with a broad foundation of business theory and the basic professional skills and mental discipline necessary for decision-making in today’s changing business world. Learn the ins and outs of running a small business and the skills that are vital for working in any company.
BEAL COLLEGE,005204,Criminal Justice: Conservation Law Enforcement,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=172,Variable,$196 per credit,Criminal Justice,"The Conservation Law Enforcement Concentration of the Criminal Justice program is designed to prepare a student to obtain employment in the field of conservation law enforcement as well as other related occupations in the criminal justice system. This hands-on program provides a strong foundation in the social, ethical and legal issues confronted by officers in the performance of their duties. Courses in physical conditioning and self-defense are also offered."
BEAL COLLEGE,005204,Criminal Justice: Law Enforcement,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=173,Variable,$196 per credit,Criminal Justice,"The Law Enforcement Concentration of the Criminal Justice program is designed to prepare a student for a career in the criminal justice system and provides the opportunity for currently employed criminal justice professionals to further their education. This hands-on program provides a strong foundation in the social, ethical and legal issues confronted by officers in the performance of their duties. Courses in physical conditioning and self-defense are also offered."
BEAL COLLEGE,005204,Early Childhood Education,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=174,Variable,$196 per credit,"Education, Childcare ","The Early Childhood Education program incorporates theory into practice, preparing the individual to enter the professional world of early childhood education. The curriculum combines basic knowledge and practical experience working with children and their families. Courses in the program will enable a student to work in a variety of childcare settings both private and public."
BEAL COLLEGE,005204,Health Information Management,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=175,Variable,$196 per credit,"Healthcare, Administration","Health Information Technicians are responsible for ensuring the quality of health records and healthcare data by verifying completeness, accuracy, and proper entry into computer systems. These skills can be applied in a variety of settings such as hospitals, nursing homes, mental health facilities, and public health agencies."
BEAL COLLEGE,005204,Medical Administrative Specialist,associate,,classroom,Bangor,flexible,http://www.bealcollege.edu/index.php?id=56&sub_id=178,Variable,$196 per credit,"Healthcare, Administration","The Medical Administrative Specialist program is designed to prepare individuals for careers as entry level medical office assistants for diverse health care delivery systems including private medical practices, clinics, public health departments, or out-patient departments of hospitals. This program gives the student the option to specialize in either a medical coding or transcription concentration. Graduates will be prepared for the Certified Medical Administrative Specialist (CMAS)(AMT) Certification exam."
