Institution Name,Title IV School Code,Program Title,Program Type,Discipline,Program Format ,Location,Schedule (if possible),Program URL,Avg Timeframe to Complete,Avg Cost,Program Category ,Program Description
University of Maine at Augusta,006760,Applied Science*,bachelor,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/appliedscience.html,Variable,$217 per credit,Bachelor of Applied Science,"Designed for graduates with their Associate Degree in a technical or vocation field to move on to receive their Bachelors degree. Students will broaden their liberal arts background with courses in English, communications, social and natural science, humanities, fine arts and mathematics. "
University of Maine at Augusta,006760,Business Administration*,bachelor,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/businessadministration.html,Variable,$217 per credit,Business,"This program prepares students to assume managerial positions upon graduation. Student can choose to major in accounting or management; management major may elect to concentrate in Public Administration, Computer Information, Financial Services, or Small Business. "
University of Maine at Augusta,006760,Business Administration*,associate,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/businessadministration.html,Variable,$217 per credit,Business,Students will acquire a broad knowledge of modern business and management theories and practices through a carefully structured curriculum enhanced by courses in the liberal arts
University of Maine at Augusta,006760,Computer Information Systems*,bachelor,science,"online, classroom","Augusta, Bangor , Online",flexible,http://www.uma.edu/computerinformationsystems.html,Variable,$217 per credit,Computer Science,"Provides technical theory, applied skills and workplace experience. Offers hands-on training in both proprietary and open souce applications widely used in the professional field. "
University of Maine at Augusta,006760,Computer Information Systems*,associate,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/computerinformationsystems.html,Variable,$217 per credit,Computer Science,"Provides technical theory, applied skills and workplace experience. Offers hands-on training in both proprietary and open souce applications widely used in the professional field. "
University of Maine at Augusta,006760,Computer Information Systems*,post bachelor,science,"online, classroom","Augusta, Bangor",flexible,http://www.uma.edu/computerinformationsystems.html,Variable,$217 per credit,Computer Science,"Provides technical theory, applied skills and workplace experience. Offers hands-on training in both proprietary and open souce applications widely used in the professional field. "
University of Maine at Augusta,006760,Financial Services,bachelor,science,"online, classroom","Augusta, Bangor, Statewide ",flexible,http://www.uma.edu/financialservices.html,Variable,$217 per credit,Financial Servces,"Designed to emphasize practical applications, the Financial Services core curriculum is complemented by specialized courses in personal financial planning, consumer lending, trust operations, international finance, life and health insurance, property and casualty insurance, business finance and investment management. "
University of Maine at Augusta,006760,Information and Library Services*,bachelor,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/ilspgm.html,Variable,$217 per credit,Information and Library Services,"Provides a foundation in computer information systems, public service programming, reference and database searching, and library technical processes. All ILS couses are offered asynchronously."
University of Maine at Augusta,006760,Information and Library Services*,associate,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/ilspgm.html,Variable,$217 per credit,Information and Library Services,"Provides a foundation in computer information systems, public service programming, reference and database searching, and library technical processes. All ILS couses are offered asynchronously."
University of Maine at Augusta,006760,Justice Studies* ,bachelor,science,"online, classroom","Augusta, Bangor",flexible,http://www.uma.edu/justicestudies.html,Variable,$217 per credit,Justice Studies,"Prepares students for expanding opportunities in law enforcement-federal, state, and municipal, paralegal positions- public and private, probabation-state and federal, risk management, and forensics."
University of Maine at Augusta,006760,Justice Studies*,associate,science,"online, classroom","Augusta, Bangor",flexible,http://www.uma.edu/justicestudies.html,Variable,$217 per credit,Justice Studies,"Prepares students for expanding opportunities in law enforcement-federal, state, and municipal, paralegal positions- public and private, probabation-state and federal, risk management, and forensics."
University of Maine at Augusta,006760,Liberal Studies*,bachelor,arts,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/liberalstudies.html,Variable,$217 per credit,Liberal Studies,"The BA in Liberal studies is a flexible progam that allows students to shape the curriculum to best meet their needs and interests. Along with the core requirements in humanities, social sciences, math and natural sciences, students choose a minor to achieve a deeper understanding of a specific area. "
University of Maine at Augusta,006760,Liberal Studies*,associate,arts,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/liberalstudies.html,Variable,$217 per credit,Liberal Studies,Offers students the opportunity to explore their education options and prepares them for the baccalaureate work. Liberal Studies gives students the basics of a well-rounded education and offers a rigorous traditional curriculum.
University of Maine at Augusta,006760,Mental Health and Human Services*,bachelor,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/mentalhealth.html,Variable,$217 per credit,Mental Health and Human Services,"Graduates can pursue successful profressional careers involving crisis stabilization, case management, counseling, psychosocial rehabilitation, income maintenance, job coaching and other services in a variety of agencies and institutions. "
University of Maine at Augusta,006760,Mental Health and Human Services*,associate,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/mentalhealth.html,Variable,$217 per credit,Mental Health and Human Services,"Allowed to specialize in areas such as substance abuse, early childhood services, developmental disabilities, child and adolescent services or gerontology, graduates can find rewarding employment in a convalescent, geriatric, rehabilitation, substance abuse treatment , developmental disabilities or mental health facility."
University of Maine at Augusta,006760,Social Science*,bachelor,arts,"online, classroom","Augusta, Bangor",flexible,http://www.uma.edu/socialsciences.html,Variable,$217 per credit,Social Science,"A degree in Social Science qualifies students for important careers requiring decision making, problem solving, evaluation, research and written or oral communications. This program provides a solid foundation for graduate studies. "
University of Maine at Augusta,006760,Accounting*,certificate,science,"online, classroom","Augusta, Bangor, Statewide",flexible,http://www.uma.edu/assets/docs/checksheets/Certificates/CACC.pdf,Variable,$217 per credit,Accounting,"The certificate will benefit students who need a mechanism for obtaining accounting skills. Level 1 completers who hold a baccalaureate degree in another field will meet the educational knowledge requirement to take professinal accounting exams, such as CPA, CMA, and CFM."
University of Maine at Augusta,006760,Human Resource Management*,certificate,science,"online, classroom","Augusta, Bangor",flexible,http://www.uma.edu/assets/docs/checksheets/Certificates/CHRM.pdf,Variable,$217 per credit,Human Resources,"This certificate is designed for individuals employed in or aspiring to work in human resources. Courses include topics in management in human resources in the public, and private sectors, labor management relations ethical decision making, oral communications and managerial methods. "
